ID,組織,組織網址,活動名稱,活動地區,開始日期,結束日期
268441566,財團法人臺北市安麗希望工場慈善基金會,http://www.amwayhopemaker.org.tw,「看見未來，前進夢想」,全國,104/03/01,105/02/29
268441924,財團法人乳癌防治基金會,http://www.breastcf.org.tw/,104年度「助她幸福」勸募活動,全國,104/03/01,105/02/28
268442113,財團法人臺北市安麗希望工場慈善基金會,http://www.amwayhopemaker.org.tw,「看見未來，前進夢想」,全國,105/05/10,106/03/31
270573538,社團法人台灣愛希望兒童關懷發展協會,http://www.hlcca.org.tw,2016愛希望年度公益專案,全國,105/04/01,106/03/31
268442015,財團法人天主教白永恩神父社會福利基金會,http://www.beunen.org.tw/,籌備聖方濟老人長期照顧中心（養護型）院舍改建工程專案,全國,104/02/16,105/02/15
268442141,社團法人臺中市拾愛社區服務協會,http://www.facebook.com/mylove.org.tw,104年度拾愛社區關懷,全國,104/02/10,104/12/01
268442295,財團法人新竹市天主教仁愛社會福利基金會,http://www.charity.org.tw/,104年度身心障礙者全生涯支持服務勸募活動,全國,104/02/09,104/12/31
268441555,社團法人台南市基督教青年會,http://www.ymca-tainan.org.tw/ymca/index.php,104年「愛與希望」募款活動,臺南市,104/03/01,104/12/31
268445159,財團法人台灣省私立啟智技藝訓練中心,http://vtcidd.org,馬上有希望-支持馬匹輔助教育與復健活動,全國,104/03/01,105/02/29
268443299,財團法人精神健康基金會,http://www.brainlohas.org/,臺灣生命建設工程計畫,全國,104/02/21,104/12/31
268472137,財團法人台灣基督教主愛之家輔導中心,http://www.vsg.org.tw,推動藥毒癮尋戒者及更生婦女少年更生保護服務方案,全國,104/03/01,105/02/29
268443350,財團法人台北市雨揚慈善基金會,http://www.rswf.org.tw,灌溉希望種子,全國,104/03/01,104/12/31
268581132,財團法人台灣癌症基金會,http://www.canceraway.org.tw/,癌友關懷教育中心服務經費,全國,104/04/01,105/03/31
268442885,社團法人台灣微客公益行動協會,http://www.waker.org.tw,2015拯救童年計劃,全國,104/07/01,105/06/30
268443715,財團法人苗栗縣私立幼安教養院,http://www.yuan.org.tw/,讓愛發光、用愛守護,全國,104/03/01,105/02/28
268443586,社團法人中華民國保護動物協會,http://www.apatw.org,2015「狗來富」專案,全國,104/02/15,105/02/14
268468367,財團法人屏東縣私立迦南身心障礙養護院,http://www.7705568.org,"憨兒夢想之家 - 啟航計畫",全國,104/03/01,105/02/28
268445623,財團法人台灣省私立啟智技藝訓練中心,http://vtcidd.org,讓愛豐盛生命&mdash;支持障礙者過有品質的生活,全國,104/03/01,105/02/29
268448085,社團法人雲林縣復健青年協進會,http://www.yunfull.org.tw,家園籌建基金勸募計畫,雲林縣,104/02/16,105/02/15
268446403,社團法人台灣非視覺運動文化發展協會,http://www.facebook.com/groups/185137638275634/,2015年世界盃盲棒賽台灣代表隊參賽計畫,全國,104/02/14,104/12/31
268448261,財團法人雙福社會福利慈善事業基金會,http://www.db.org.tw,2015「愛在雙福計劃」,全國,104/02/18,105/02/17
268446311,社團法人台灣展翅協會,http://www.ecpat.org.tw/,2015年展翅公益勸募案,全國,104/03/01,105/02/29
268448137,財團法人天主教會台中教區,http://www.catholic-tc.org.tw/,財團法人天主教會台中教區附設台中市私立慈愛智能發展中心『你一塊。我一塊』真愛不滅,全國,104/03/01,104/12/31
268448895,財團法人台灣省私立鴻佳啟能庇護中心,http://hc.org.tw,弱勢身心障礙者全人照顧計畫,全國,104/05/01,105/04/30
268441850,財團法人中華民國自閉症基金會,http://www.fact.org.tw/,自閉症者療育課程暨入國小準備班,全國,104/03/24,105/02/13
268453189,財團法人屏東縣私立慈幼之家,http://www.ciyuhome.org.tw/,讓院童圓一個有家的夢想,全國,104/03/01,105/02/28
268454334,社團法人臺東縣南迴健康促進關懷服務協會,http://4141.eoffering.org.tw/,"方舟教室,獨居老人與身障者在地照顧服務,曙光農場聯合勸募",全國,104/03/01,105/02/28
268449016,財團法人台灣省天主教會新竹教區,http://www.catholic.org.tw/hsinchu,"為愛儲備力量 讓愛走動",全國,104/04/01,105/03/31
268449201,財團法人基督教宇宙光全人關懷機構,http://www.cosmiccare.org,104年宇宙光送炭愛心關懷計畫,全國,104/01/01,104/12/31
268461850,財團法人忠義社會福利事業基金會,http://www.cybaby.org.tw,104年翻轉童年&mdash;蒲公英寶寶助養計畫,全國,104/01/01,104/12/31
268463264,財團法人天使心家族社會福利基金會,http://www.ah-h.org,2015愛奇兒守護者,全國,104/01/01,104/12/31
268472249,財團法人心路社會福利基金會,http://web.syinlu.org.tw/,104年度心路好天天『智能及發展障礙者多元服務計畫』,全國,104/01/01,104/12/31
268472307,財團法人弘道老人福利基金會,http://www.hondao.org.tw/,2015年『有了愛，不擔心』弱勢長者與銀髮族在地關懷計畫,全國,104/01/01,104/12/31
268480724,財團法人彰化縣私立慈恩老人養護中心,http://web1.ihao.org/tszen/,畫出未來~104年度弱勢長者關懷基金,全國,104/01/01,104/12/31
268458251,財團法人臺中市私立衡山社會福利基金會,http://www.soul.org.tw/,104年度衡山慈善免費醫療服務計畫,全國,104/01/01,104/12/31
268457849,財團法人聖島社會福利慈善基金會,http://www.saint-island-charity.org/,104年引清泉育青秧：扶助經濟弱勢家庭暨學子,全國,104/01/01,104/12/31
268457971,財團法人新竹市私立愛恆啟能中心,http://www.aiheng.url.tw/,讓愛蔓延～籌募愛恆104年度成年身心障礙者專業服務經費,全國,104/01/01,104/12/31
268458086,財團法人台灣關愛基金會,http://www.twhhf.org,104年愛滋感染者全人式照護,全國,104/01/15,104/12/31
268458236,財團法人伊甸社會福利基金會,http://www.eden.org.tw,籌募105年度弱勢失能家庭服務,全國,104/01/01,104/12/31
268461437,財團法人天主教會台中教區,http://www.catholic-tc.org.tw/,附設台灣省私立慈愛殘障教養院『一&quot;銅&quot;種下愛的希望』～推動身心障礙者多元專業服務費用,全國,104/01/01,104/12/31
268461458,財團法人桃園市私立庭芳啟智教養院,http://www.tinfun.org.tw,庭芳家園築夢計畫,全國,104/03/01,105/02/28
268742552,財團法人富邦慈善基金會,http://www.fuboncharity.org.tw,104年度『用愛心做朋友』活動,全國,104/02/01,104/12/31
